B-V;Vmag;log.Teff;logL;Age;Mass
-0.170;12.030; 4.200; 2.51;-8.77e+06;  4.49
-0.090;12.040; 4.075; 2.22; 9.80e+07;  3.47
-0.150;12.110; 4.167; 2.39; 6.13e+06;  4.10
-0.100;12.120; 4.087; 2.21; 8.24e+07;  3.48
-0.140;12.200; 4.150; 2.32; 1.19e+07;  3.89
-0.130;12.250; 4.133; 2.26; 2.42e+07;  3.72
-0.130;12.300; 4.133; 2.24; 1.92e+07;  3.69
-0.120;12.370; 4.117; 2.17; 3.17e+07;  3.52
-0.120;12.410; 4.117; 2.16; 2.72e+07;  3.50
-0.070;12.600; 4.050; 1.95; 1.07e+08;  2.99
-0.120;12.600; 4.117; 2.08; 3.68e+06;  3.39
-0.090;12.680; 4.075; 1.96; 5.91e+07;  3.07
-0.090;12.760; 4.075; 1.93; 4.76e+07;  3.03
-0.090;12.900; 4.075; 1.88; 2.35e+07;  2.97
-0.100;12.940; 4.087; 1.88;-6.76e+06;  3.02
-0.080;12.990; 4.062; 1.82; 3.17e+07;  2.86
-0.090;13.000; 4.075; 1.84; 3.98e+06;  2.92
-0.150;13.010; 4.167; 2.03;-9.86e+07;  3.57
-0.080;13.120; 4.062; 1.76; 3.10e+06;  2.80
-0.070;13.140; 4.050; 1.73; 2.74e+07;  2.73
-0.080;13.170; 4.062; 1.74;-8.87e+06;  2.78
-0.060;13.240; 4.040; 1.68; 3.06e+07;  2.64
-0.080;13.280; 4.062; 1.70;-3.72e+07;  2.73
-0.070;13.310; 4.050; 1.66;-1.74e+07;  2.66
-0.070;13.570; 4.050; 1.56;-1.01e+08;  2.56
 2.100;12.030; 3.503; 2.87;         ;
 1.460;12.780; 3.688; 1.67; 2.13e+08;  3.06
 1.950;13.190; 3.582; 1.89;         ;
 0.590;13.220; 3.914; 1.37; 4.52e+08;  2.12
 0.590;13.220; 3.914; 1.37; 4.79e+08;  2.10
 0.590;13.220; 3.914; 1.37; 6.34e+08;  1.98
 1.460;13.480; 3.688; 1.39; 3.90e+08;  2.50
 0.610;13.520; 3.905; 1.25; 4.85e+08;  1.98
 0.610;13.520; 3.905; 1.25; 6.95e+08;  1.87
 0.610;13.520; 3.905; 1.25; 7.16e+08;  1.86
 1.450;13.540; 3.690; 1.36; 4.17e+08;  2.44
 0.480;13.710; 3.969; 1.23;-1.39e+07;  2.05
 0.620;13.720; 3.900; 1.16; 4.91e+08;  1.89
 1.400;13.730; 3.700; 1.26; 5.66e+08;  2.20
 0.790;13.740; 3.837; 1.15; 1.10e+09;  1.70
 1.580;13.750; 3.664; 1.33; 6.21e+08;  2.15
 1.580;13.750; 3.664; 1.33; 6.55e+08;  2.16
 1.580;13.750; 3.664; 1.33; 8.85e+08;  2.07
 1.340;13.810; 3.712; 1.21; 6.91e+08;  2.06
 1.490;13.820; 3.682; 1.26; 5.43e+08;  2.24
 1.430;13.850; 3.694; 1.23; 5.81e+08;  2.19
 1.580;13.960; 3.664; 1.25; 7.73e+08;  2.00
 1.580;13.960; 3.664; 1.25; 8.05e+08;  2.01
 1.580;13.960; 3.664; 1.25; 1.03e+09;  1.94
 0.630;13.970; 3.896; 1.06; 4.65e+08;  1.79
 0.690;14.000; 3.873; 1.05; 6.52e+08;  1.77
 0.690;14.000; 3.873; 1.05; 9.46e+08;  1.67
 0.690;14.000; 3.873; 1.05; 9.72e+08;  1.66
 1.580;14.070; 3.664; 1.20; 8.65e+08;  1.93
 1.580;14.070; 3.664; 1.20; 8.98e+08;  1.94
